Champion,Cost,Role,Damage Type,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s)
Gwen,4 Gold,Fighter,AP,Shadow Isles,,Slayer,,2,Dashing Cone Slayer,"Dash around the current target and snip 3 times in a cone, each dealing 100/150/400% Ability Power magic damage to enemies hit. Every 3 casts, gain 120/120/300 Armor and Magic Resist for 3/3/5 seconds.",1,Active,On Cast,—,Self,Move,Current,—,—,2,—,—,—,—,Self,Movement,(reposition),—,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Sweep Laser,Current,default,Box 0.1x2,2,3,—,Consecutive,—,Enemies in area,Attack,Damage,100/150/400% AP,—,—,Once,—
,,,,,,,,,,,0.1,Passive,On 3rd Cast,—,Self,Cast,Self,—,—,2,—,—,—,—,Same to Aim Target,Buff,Armor,120/120/300,—,—,Once,3/3/5
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,MR,120/120/300,—,—,Once,3/3/5
Senna,5 Gold,Marksman,AD,Redeemer,Shadow Isles,Gunner,,4,Board-Wide Beam Support,"Fire a massive beam at the furthest enemy, dealing 235/250/2000% Attack Damage physical damage to all enemies hit. Any allies hit gain 200/275/4000% Ability Power Shield for 4/4/15 seconds.",1,Active,On Cast,—,Self,Laser Shot,Farthest,default,unknown,4,1,—,—,—,Enemies in path,Attack,Damage,235/250/2000% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in path,Buff,Shield,200/275/4000% AP,—,—,Once,4/4/15
Soraka,2 Gold,Mage,AP,Targon,,Invoker,,4,Star-Fall Healer,"Heal the lowest health ally for 140/160/180% Ability Power. If the ally is below 50% Health, heal them for an additional 140/160/180% Ability Power. Over the next 5 seconds, 5 stars hit the enemy closest to them. Each deals 120/180/280% Ability Power magic damage.",1,Active,On Cast,—,Self,Cast,Lowest-HP Ally,—,—,4,—,—,—,—,Same to Aim Target,Buff,Heal,140/160/180% AP,—,—,Once,—
,,,,,,,,,,,,,,If Ally Below 50% HP,,,,,,,,,,,Same to Aim Target,Buff,Heal,140/160/180% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Child of the Star,—,—,—,Once,5
,,,,,,,,,,,,,,—,Summon,Auto-Attack (ranged),Nearest enemy to owner,default,default,,1,,,,Aimed enemy,Attack,Damage,120/180/280% AP,—,—,Every 0.5s,5
Taric,3 Gold,Tank,AP,Targon,,Bastion,Sorcerer,1,Damage-Redirecting Shield Tank,Gain 500/580/680% Ability Power Shield for 4 seconds. It redirects 50% of the damage received by adjacent allies.,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,500/580/680% AP,—,—,Once,4
,,,,,,,,,,,,,,,,,,,,,,,,,Adjacent allies (left & right),Buff,Damage Redirect,50%,—,—,Once,4
Aphelios,4 Gold,Marksman,AD,Targon,,Deadeye,,4,Chakram-Stacking Moon Carry,"Fire a moon blast at the largest group of enemies that deals 240/240/750% Attack Damage physical damage to enemies within 2 hexes. For 7 seconds, equip 3 Chakram, plus 1 more for each enemy hit by the blast. Attacks deal 7/7/15% Attack Damage bonus physical damage for each Chakram equipped. Aphelios heals for 75% of damage dealt by Chakrams (increased by Ability Power).",1,Active,On Cast,—,Self,Homing Projectile,Clustered,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Clustered,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Attack,Damage,240/240/750% AD,—,—,Once,—
,,,,,,,,,,,3,Active,After Step 2,—,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,Chakram,3,Per Target Hit,+1 per enemy hit by the blast,Once,7
,,,,,,,,,,,0.1,Passive,On Attack,If Empowered,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Attack,Damage,7/7/15% AD,Per Stack,per Chakram equipped,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Omnivamp,75%,Derived,of Chakram damage only; increased by AP,Once,—
Cho'Gath,1 Gold,Tank,—,Void,,Bruiser,,1,Devouring Execute Tank,"Deal magic damage equal to 12% of the target's max Health (increased by Ability Power) to the lowest Health enemy in range. If this kills them, devour them and permanently gain 35 maximum Health. (Current Bonus: scales with each enemy devoured)",1,Active,On Cast,—,Self,Cast,Lowest-HP enemy,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,12% target Max HP,Derived,increased by AP,Once,—
,,,,,,,,,,,2,Active,On Kill,If Killed By Skill,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,35,Stacking,+35 per enemy devoured,Once,Permanent
Malzahar,1 Gold,Mage,AP,Void,,Sorcerer,,4,Portal-Zone Mage,Open two portals near the current target. Destroy 50% of Shields and deal 220/330/500% Ability Power magic damage to all enemies caught between the portals.,1,Active,On Cast,—,Self,Laser Shot,Current,default,Box 3x1,4,1,—,—,—,Enemies in path,Debuff,Shield Destroy,50%,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Attack,Damage,220/330/500% AP,—,—,Once,—
Kassadin,2 Gold,Tank,AP,Void,,Bastion,,1,Disarming Shield Tank,"Gain 250/300/400% Ability Power Shield for 4 seconds. Deal 160/240/360% Ability Power magic damage to enemies in a cone and Disarm them for 1.5/1.75/2 seconds. Disarm: Cannot move or attack, but CAN cast spells.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,250/300/400% AP,—,—,Once,4
,,,,,,,,,,,,,,,,Cone AOE,Current,default,Cone 1 hex,,1,,,,Enemies in area,Attack,Damage,160/240/360% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Disarm,—,—,—,Once,1.5/1.75/2
Rek'Sai,3 Gold,Fighter,AD,Void,,Bruiser,,1,Marking Execute Bruiser,"Deal 250/250/255% Attack Damage physical damage to the current target and mark them. If they are below 66% max Health, deal true damage instead. If the target is marked, deal 240/240/250% Attack Damage bonus true damage. If this kills the target, rip through them 1 hex and heal for 10% Max Health (increased by Ability Power).",1,Active,On Cast,If Target NOT Below 66% HP,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,250/250/255% AD,—,—,Once,—
,,,,,,,,,,,,,,—,,,,,,,,,,,Same to Aim Target,Status,Mark,—,—,—,Once,—
,,,,,,,,,,,,,,If Target Below 66% HP,,,,,,,,,,,Same to Aim Target,Attack,True Damage,250/250/255% AD,—,—,Once,—
,,,,,,,,,,,,,,If Target Marked,,,,,,,,,,,Same to Aim Target,Attack,True Damage,240/240/250% AD,Conditional Bonus,bonus true damage if marked,Once,—
,,,,,,,,,,,2,Active,On Kill,—,Self,Move Behind,Current,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,10% Max HP,Derived,increased by AP,Once,—
Vel'Koz,3 Gold,Mage,AP,Void,,Sorcerer,Multicaster,4,Splitting Plasma Mage,"Fire a plasma bolt towards the current target that deals 220/330/550% Ability Power magic damage to the first enemy hit. It then splits in two, dealing 50% less damage whenever it passes through an enemy.",1,Active,On Cast,—,Self,First hit Projectile,Current,default,default,4,1,—,—,—,First hit enemy,Attack,Damage,220/330/550% AP,—,—,Once,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Pierce Projectile,Step 1 Aim target,default,default,4,2,Diagonal to Action Source,At Once,—,Enemies in path,Attack,Damage,220/330/550% AP,Falloff per hit,−50% per enemy passed through,Once,—
Kai'Sa,4 Gold,Marksman,AP,Void,,Challenger,,4,Missile-Barrage Carry,"Dash away from all enemies, then fire 15/15/25 missiles split across the 4 nearest enemies. Each missile deals 80/120/240% Ability Power magic damage.",1,Active,On Cast,—,Self,Move,Away from enemies,—,—,4,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Homing Projectile,Nearest 4 enemies,default,default,4,15/15/25,—,Consecutive,—,Aimed enemy,Attack,Damage,80/120/240% AP,—,—,Once,—
Bel'Veth,5 Gold,Fighter,AD,Empress,Void,,,2,Multi-Lash Empress Carry,Lash out at the lowest Health enemy in range 6/6/25 times. Each lash deals 85% Attack Damage + 18/30/100% Ability Power physical damage and 2% of the target's max Health as true damage.,1,Active,On Cast,—,Self,QuickAA,Lowest-HP enemy,default,default,2,6/6/25,—,Consecutive,—,Same to Aim Target,Attack,Damage,85% AD + 18/30/100% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Attack,True Damage,2% target Max HP,—,—,Once,—
Tristana,1 Gold,Marksman,AD,Yordle,,Gunner,,4,Explode-on-Hit Gunner,"Gain 70% Ability Power Attack Speed for 4 seconds. For the duration, attacks explode on impact and deal 60% Attack Damage physical damage to enemies within 1 hex. 4-Star Upgrade: Every 10th attack deals 100% Attack Damage bonus physical damage and ricochets to the largest clump of enemies, dealing 50% of that damage to enemies within 1 hex.",1,Active,On Cast,—,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,Attack Speed,70% AP,—,—,Once,4
,,,,,,,,,,,2,Active,On Attack,If Empowered,Self,Circle AOE,Current,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,60% AD,—,—,Once,—
,,,,,,,,,,,3,Active,On 10th Attack,If 4-Star,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Attack,Damage,100% AD,—,—,Once,—
,,,,,,,,,,,,,,,,Circle AOE,Clustered,centred,Circle 1 hex,,,,,,Enemies in area,Attack,Damage,50%,Derived,of the 10th attack's damage,Once,—
Teemo,2 Gold,Mage,AP,Yordle,,Strategist,Multicaster,4,Wounding Mushroom Mage,"Hurl an explosive heat-seeking mushroom at the current target. When it detonates, enemies within 1 hex are Wounded and dealt 260/390/585% Ability Power magic damage over 3 seconds. 4-Star Upgrade: Increase the explosion radius by 1 hex. Wound: Reduce healing received by 33%",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,If not 4-Star,Step 1 Projectile,Circle AOE,Current,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,260/390/585% AP,—,—,Every 0.5s,3
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Wound,—,—,—,Once,3
,,,,,,,,,,,,,,If 4-Star,,,,,Circle 2 hex,,,,,,Enemies in area,Attack,Damage,260/390/585% AP,—,—,Every 0.5s,3
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Wound,—,—,—,Once,3
Heimerdinger,5 Gold,Marksman,AP,Technogen,Yordle,,,4,Grenade Stun Artillery,"Hurl a grenade towards the largest group of enemies, dealing 150/225/3141% Ability Power magic damage to enemies in a large area and Stunning them for 1.5/2/15 seconds.",1,Active,On Cast,—,Self,Homing Projectile,Clustered,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Clustered,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Attack,Damage,150/225/3141% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1.5/2/15
Nilah,4 Gold,Marksman,AD,Bilgewater,,Vanquisher,,2,Cone-Auto Duelist,"Formless Blade: Passive: Attacks strike in a cone, dealing 55/55/100% Attack Damage physical damage to up to 2 additional enemies. Every 3rd attack strikes in a line for 170/175/375% Attack Damage physical damage and grants 18/18/40% stacking Attack Speed.Active: Gain 250/375/700% Ability Power Shield for 3 seconds and dash to a safe location.",0.1,Passive,On Attack,—,Self,Cone AOE,Current,default,unknown,2,1,—,—,—,Additional enemies in cone,Attack,Damage,55/55/100% AD,—,—,Once,—
,,,,,,,,,,,,,On 3rd Attack,,,Laser Shot,,,,,,,,,Enemies in path,Attack,Damage,170/175/375% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Attack Speed,18/18/40%,Stacking,per 3rd attack,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,2,—,—,—,—,Self,Buff,Shield,250/375/700% AP,—,—,Once,3
,,,,,,,,,,,,,,,,Move,Away from enemies,,,,,,,,Self,Movement,(reposition),—,—,—,—,—
Miss Fortune,3 Gold,Marksman,AP,Bilgewater,,Strategist,,4,X-Rain Shield-Breaker,"X Marks the Spot: Call down an X-shaped rain of bullets, destroying 35% of the target's Shields and dealing 240/360/580% Ability Power magic damage. For 5 seconds, enemies hit have incoming Shields reduced by 35%.",1,Active,On Cast,—,Self,Custom AOE,Current,centred,X-shape,4,1,—,—,—,Enemies in area,Debuff,Shield Destroy,35%,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,240/360/580% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,Shield Reduction,35% incoming,—,—,Once,5
Aatrox,5 Gold,Fighter,AD,Darkin,,Slayer,Juggernaut,1,Transformed AOE Slayer,"Transform for 10/10/30 seconds, gaining 10% Ability Power Omnivamp and converting 80% of bonus Attack Speed to Attack Damage. While transformed, attacks deal 250/250/2500% Attack Damage physical damage in an area.Omnivamp: Heal for percentage of damage dealt",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Omnivamp,10% AP,—,—,Once,10/10/30
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,80% of bonus AS,Derived,converts bonus Attack Speed to AD,Once,10/10/30
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Debuff,Attack Speed,all bonus AS removed,—,consumed by the AD conversion,Once,10/10/30
,,,,,,,,,,,0.1,Passive,On Attack,While transformed — 1st in loop,Self,Box AOE,Self,rear edge,Box 1x2,1,1,—,—,—,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—
,,,,,,,,,,,,,,While transformed — 2nd in loop,,Cone AOE,,default,Cone 1 hex,,,,,,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—
,,,,,,,,,,,,,,While transformed — 3rd in loop,,Circle AOE,,centred,Circle 1 hex,,,,,,Enemies in area,Attack,Damage,250/250/2500% AD,—,—,Once,—
Neeko,4 Gold,Tank,AP,Ixtal,,Bastion,,2,Leap-Slam Bastion,"Shapesplitter: Leap towards the current target and gain 250/325/425% Ability Power Shield for 3 seconds. Slam down after a brief delay, dealing 300/450/700% Ability Power magic damage to enemies within two hexes.",1,Active,On Cast,—,Self,Move,Current,—,—,2,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Shield,250/325/425% AP,—,—,Once,3
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Current,centred,Circle 2 hex,2,1,—,—,—,Enemies in area,Attack,Damage,300/450/700% AP,—,—,Once,—
Qiyana,2 Gold,Assassin,AD,Ixtal,,Rogue,Slayer,1,Elemental Dash-Line Slayer,"Royal Combo: Dash to strike enemies in a line and deal 255/255/270% Attack Damage + 40/60/90% Ability Power physical damage, empowered by whichever elemental terrain is currently active; Stuns and knocks up the first target hit for 1.5 seconds and all other targets for 0.5 seconds.",1,Active,On Cast,—,Self,Move Behind,Current,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,leaps THROUGH the current target,—,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Pierce Projectile,Current,default,default,1,1,—,—,—,Enemies in path,Attack,Damage,255/255/270% AD + 40/60/90% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,First hit enemy,Status,Stun,—,—,—,Once,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Status,Stun,—,—,—,Once,0.5
Ryze,5 Gold,Mage,—,Wanderer,,Invoker,,4,Barkskin Zone Invoker,"Create a portal that coats the ground around the current target in a thicket of vines. After a brief delay, deal magic damage to enemies within, scaling with Ryze's own Armor and Magic Resist (150/200/300% of each), and Stun enemies at the epicenter for 2/2/2.5 seconds with a knockup. Allies within are wrapped in Barkskin, granting bonus Armor and Magic Resist equal to 150/200/300% of Ryze's own for 4 seconds (increased by Ability Power).",1,Active,On Cast,—,Self,Circle AOE,Current,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Attack,Damage,150/200/300% Armor + 150/200/300% MR,Derived,of Ryze's own Armor and MR,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies at epicenter,Status,Stun,—,—,—,Once,2/2/2.5
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,Armor,150/200/300% of Ryze's Armor,Derived,increased by AP,Once,4
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,MR,150/200/300% of Ryze's MR,Derived,increased by AP,Once,4
Jinx,2 Gold,Marksman,AD,Zaun,,Gunner,,4,Rocket-Barrage Gunner,Fire 5 rockets at random enemies within 2 hexes of the current target. Each rocket deals 150/155/160% Attack Damage + 15/20/35% Ability Power physical damage.,1,Active,On Cast,—,Self,Homing Projectile,Random (2 hex of Current),default,default,4,5,—,Consecutive,—,Aimed enemy,Attack,Damage,150/155/160% AD + 15/20/35% AP,—,—,Once,—
Warwick,2 Gold,Fighter,AD,Zaun,,Juggernaut,Challenger,1,Lifesteal Frenzy Juggernaut,"Passive: Attacks heal for 30/35/40% Ability Power.Active: Gain 100% Attack Speed for 2.5 seconds. Then, Stun adjacent enemies for 1.25/1.5/2 seconds.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Attack Speed,100%,—,—,Once,2.5
,,,,,,,,,,,2,Active,On Cast Expire,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Adjacent enemies,Status,Stun,—,—,—,Once,1.25/1.5/2
,,,,,,,,,,,0.1,Passive,On Attack,—,Self,Bonus on AA,Current,—,—,1,1,—,—,—,Self,Buff,Heal,30/35/40% AP,—,—,Once,—
Urgot,4 Gold,Fighter,AD,Zaun,,Deadeye,,1,Six-Leg Zoner,"Passive: Whenever an enemy enters Attack Range, fire a blast from the leg facing that direction that deals 220% Attack Damage + 40/60/500% Ability Power physical damage. Each of Urgot's 6 legs has a 4/4/1 second cooldown.Active: Gain 350/450/1200% Ability Power Shield for 5 seconds and dash behind the current target. Reset all leg cooldowns.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Shield,350/450/1200% AP,—,—,Once,5
,,,,,,,,,,,2,Active,After Step 1,—,Self,Move Behind,Current,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,resets all leg cooldowns,—,—
,,,,,,,,,,,0.1,Passive,On Enemy Enters Range,Per leg (4/4/1s CD),Self,Cone AOE,Enemy entering range,default,Cone 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,220% AD + 40/60/500% AP,—,—,Once,—
Zeri,4 Gold,Marksman,AD,Zaun,,Gunner,,4,Chain-Lightning Executioner,"Passive: Execute enemies below 8% max Health (increased by Ability Power). Active: For the next 8/8/15 seconds, attacks chain lightning to 3/3/5 additional enemies, dealing 45/45/100% Attack Damage physical damage.",1,Active,On Cast,—,Self,Cast,Self,—,—,4,—,—,—,—,Self,Buff,On-Hit Damage,attacks chain to 3/3/5 additional enemies,—,—,Once,8/8/15
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Status,Empowered,—,—,—,Once,8/8/15
,,,,,,,,,,,0.1,Passive,On Attack,If Empowered,Self,Bounce Homing Projectile,Current,default,default,4,3/3/5,—,Consecutive,—,Aimed enemy,Attack,Damage,45/45/100% AD,—,—,Once,—
,,,,,,,,,,,0.2,Passive,On Attack,—,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Status,Execute,< 8% max HP (increased by AP),—,—,Once,—
Silco,4 Gold,Mage,AP,Zaun,,Sorcerer,,4,Chem-Zone Sorcerer,"Undercity Tactics: Throw a vial at the nearest surrounded enemy, covering nearby hexes in chemicals for 6 seconds. Deal 65/100/400% Ability Power magic damage per second to chemical-affected enemies, and heal affected allies for 20/25/120% Ability Power per second. When possible, target unaffected groups.",1,Active,On Cast,—,Self,Homing Projectile,Clustered,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Zone AOE,Clustered,centred,Circle 2 hex,4,1,—,—,—,Enemies in area,Attack,Damage,65/100/400% AP,—,—,Every 1s,6
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,Heal,20/25/120% AP,—,—,Every 1s,6
Graves,1 Gold,Assassin,AD,Bilgewater,,Rogue,Gunner,1,Smoke-Cloud Chiller,"Smoke Grenade: Launch a smoke grenade toward the current target. It explodes on impact dealing physical damage to adjacent enemies, leaving behind a smoke cloud that Chills for a few seconds. Chill: Reduce Attack Speed by 30%. Damage AD: 200% / 200% / 205%. Damage AP: 30% / 45% / 60%.Damage: AD + AP.Duration: 3 / 3.5 / 4 seconds.",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,1,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Step 1 Aim target,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,200/200/205% AD + 30/45/60% AP,—,—,Once,—
,,,,,,,,,,,,,,,,Zone AOE,,,,,,,,,Enemies in area,Status,Chill,30%,—,—,Every 0.5s,3/3.5/4
Illaoi,1 Gold,Tank,AP,Bilgewater,,Bastion,,1,Soul-Link Tank,"Harsh Lesson: Deal magic damage to the current target, linking souls for 5 seconds. While linked, heal % of all damage taken by the target. Damage: 250% / 375% / 560%. Heal: 25% / 30% / 40%",1,Active,On Cast,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,250/375/560% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Soul Link,—,—,—,Once,5
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,25/30/40%,Derived,of all damage the linked target takes,Once,5
Twisted Fate,2 Gold,Mage,AP,Bilgewater,,Multicaster,,4,Delayed-Burst Mage,"Stacked Deck: Throw a hand of cards at the current target, dealing damage and encircling them. After 1.25 seconds the cards explode, dealing damage to nearby enemies. Initial Damage: 155% / 235% / 380%. Delayed Damage: 185% / 275% / 435%",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,155/235/380% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Delayed Blast,1.25,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Delayed Blast,Circle AOE,Self,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,185/275/435% AP,—,—,Once,—
Nautilus,3 Gold,Tank,AP,Bilgewater,,Juggernaut,,1,Knock-Up Anchor,"Riptide: Passive: Gain 40% bonus Armor and Magic Resistance from all sources. Active: Deals magic damage to enemies within two hexes. Knock them up and pull them together, Stunning them for 1.5 seconds. Damage: 150% / 225% / 360%. Stun Duration: 1.5 / 1.5 / 2 seconds",0.1,Passive,Game Start,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Armor,40%,Derived,of Armor from all sources,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,MR,40%,Derived,of MR from all sources,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Circle AOE,Current,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,150/225/360% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Knock Up,—,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1.5/1.5/2
Gangplank,5 Gold,Marksman,AP,Bilgewater,,Gunner,Reaver King,1,Dreadway Admiral,"Cutlass Passive: Gain 50 Armor and Magic Resist. Attacks ignite the target, dealing true damage over 2 seconds.Pistol Passive: Gain 3 range. Attacks grant 5 extra mana. Active: Summon the Dreadway to sail across the board, crashing into the first enemy hit and dealing magic damage in a 3-hex radius. Allies the Dreadway passes through or hits with the crash are empowered by citrus, gaining Attack Speed and immunity to crowd control for 3 seconds. Ignite Damage: 250% / 250% / 2500%. Spell Damage: 450% / 675% / 9001%. Attack Speed: 35% / 50% / 300%",0.1,Passive,Game Start,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Armor,50,—,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,MR,50,—,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Range,3,—,—,Once,Permanent
,,,,,,,,,,,0.2,Passive,On Attack,—,Self,Bonus on AA,Current,—,—,1,1,—,—,—,Same to Aim Target,Attack,True Damage,250/250/2500% AP,—,—,Every 0.5s,2
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Mana,5,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Charge Summon,Self,—,—,1,—,—,—,—,—,Summon,(summon),—,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Summon,Charge,Clustered,default,default,1,1,—,—,—,Allies in path,Buff,Attack Speed,35/50/300%,—,—,Once,3
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in path,Buff,CC Immunity,—,—,—,Once,3
,,,,,,,,,,,3,Active,After Step 2,—,Summon,Circle AOE,Current,centred,Circle 3 hex,1,1,—,—,—,Enemies in area,Attack,Damage,450/675/9001% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,Attack Speed,35/50/300%,—,—,Once,3
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in area,Buff,CC Immunity,—,—,—,Once,3
Naafiri,2 Gold,Fighter,AD,Darkin,Shurima,Challenger,,1,Packmate Duelist,"Passive: Gain 15% Omnivamp. Active (Eviscerate): Deal physical Damage. Darkin Dagger: After casting, summon packmates that attack the first enemy hit for a total of AD. Eviscerate Damage: 175% / 175% / 180% AD. Omnivamp: 15%. Total Packmate Damage: 190% / 195% / 200% AD",0.1,Passive,Game Start,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Omnivamp,15%,—,—,Once,Permanent
Naafiri,,Fighter,,,,,,,,,1,Active,On Cast,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,175/175/180% AD,—,—,Once,—
Naafiri,,Fighter,,,,,,,,,2,Active,After Step 1,—,Self,Charge Summon,—,—,—,1,—,—,—,—,—,Summon,(summon),—,—,—,Once,—
Naafiri,,Fighter,,,,,,,,,3,Active,After Step 2,—,Summon,Charge [collision=Target-Only],Step 1 Aim target,default,default,1,1,—,—,—,Same to Aim Target,Attack,Damage,190/195/200% AD,—,total across all packmates,Once,—
